設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),中山里,桃園市龍潭區中山社區發展協會,桃園市龍潭區中山里華南路1-1號,24.847782,121.2462732
其他(人民團體、社區發展協會、學校),佳安里、三坑里、上華里、建林里,桃園市龍潭區佳安社區發展協會,桃園市龍潭區佳安里中正路佳安段403號,24.8489257,121.244378
其他(人民團體、社區發展協會、學校),黃唐里、永興里,桃園市龍潭區黃唐社區發展協會,桃園市龍潭區黃唐里武中路10號,24.8444927,121.2053963
其他(人民團體、社區發展協會、學校),凌雲里、龍祥里,桃園市龍潭區凌雲社區發展協會,桃園市龍潭區凌雲里干城路19巷28號,24.8687908,121.2069458
其他(人民團體、社區發展協會、學校),烏林里、烏樹林里,桃園市龍潭區烏林社區發展協會,桃園市龍潭區中豐路401號,24.8811007,121.209735
其他(人民團體、社區發展協會、學校),觀音里,桃園市觀音區觀音社區發展協會,桃園市觀音區觀音里中山路8號,25.0366488,121.0819564
其他(人民團體、社區發展協會、學校),白玉里,桃園市觀音區白玉社區發展協會,桃園市觀音區白玉里玉林路一段180號,25.0395862,121.0853033
其他(人民團體、社區發展協會、學校),新坡里,桃園市觀音區新坡社區發展協會,桃園市觀音區新坡里新生路76巷5弄2號,25.0144839,121.1366473
其他(人民團體、社區發展協會、學校),保障里、草漯里、塔腳里,桃園市觀音區保障社區發展協會,桃園市觀音區保障里保障三路298巷8號,25.0654319,121.1489786
其他(人民團體、社區發展協會、學校),保生里,桃園市觀音區保生社區發展協會,桃園市觀音區保生里保成路32號,25.0157507,121.0559849
其他(人民團體、社區發展協會、學校),塔腳里,桃園市觀音區塔腳社區發展協會,桃園市觀音區塔腳里廣大路1085號,25.0442181,121.1638717
其他(人民團體、社區發展協會、學校),草漯里、草新里,桃園市觀音區草漯社區發展協會,桃園市觀音區草漯里忠孝路82號,25.0499974,121.142512
其他(人民團體、社區發展協會、學校),廣興里、坑尾里,桃園市觀音區廣興社區發展協會,桃園市觀音區廣興里中山路1段413號,25.0355953,121.0836245
其他(人民團體、社區發展協會、學校),草新里,桃園市觀音區草新社區發展協會,桃園市觀音區草新里新生路1148號,25.0386541,121.1440671
其他(人民團體、社區發展協會、學校),大堀里,桃園市觀音區大堀社區發展協會,桃園市觀音區大堀里新華路2段72號,25.0032043,121.1268472
里辦公處,上大里、富源里、中壢區過嶺里,桃園市觀音區上大里辦公處,桃園市觀音區上大里大湖路一段510號,24.9781094,121.1475466
里辦公處,大同里,桃園市觀音區大同里辦公處,桃園市觀音區大同里新富路一段595號,25.0036309,121.1379111
里辦公處,崙坪里,桃園市觀音區崙坪里辦公處,桃園市觀音區崙坪里8鄰忠愛路2段157號,24.9991439,121.1583984
